,date,total_sleep_duration_hr,mean_sleep_efficiency,mean_sleep_quality,total_step_count,total_step_distance,total_step_calorie,mean_step_speed,mean_heart_rate,max_heart_rate,min_heart_rate,mean_exercises_heart_rate,mean_cadence,mean_exercises_speed,max_altitude,max_exercises_heart_rate,max_cadence,max_exercises_speed,min_altitude,min_exercises_heart_rate,altitude_loss,total_exercises_rep_count,altitude_gain,total_exercises_duration,incline_distance,decline_distance,total_exercises_calorie,total_exercises_distance
0,2017-12-16,6.85,94.902916,,,,,,54.09090909090909,0.0,0.0,,,,,,,,,,,,,,,,,
1,2017-12-18,8.183333333333334,96.34146,,,,,,70.25,0.0,0.0,,,,,,,,,,,,,,,,,
2,2017-12-20,4.883333333333334,93.174065,,,,,,,,,,,,,,,,,,,,,,,,,
3,2017-12-22,8.35,91.434265,,,,,,,,,,,,,,,,,,,,,,,,,
4,2017-12-23,5.366666666666666,93.18885,,,,,,,,,,,,,,,,,,,,,,,,,
5,2017-12-24,8.766666666666667,94.117645,,,,,,,,,153.5,70.955415,1.3741005,271.397,220.0,167.796,3.831,231.148,86.0,0.0,0.0,0.0,61.96385000000001,766.78,855.829,553.2239999999999,4420.025
6,2017-12-25,11.266666666666666,90.929455,,,,,,,,,,,,,,,,,,,,,,,,,
7,2017-12-26,6.483333333333333,92.05128,,,,,,,,,,,,,,,,,,,,,,,,,
8,2017-12-28,9.083333333333334,89.926735,,,,,,,,,,,,,,,,,,,,,,,,,
9,2017-12-29,8.25,90.120964,,,,,,101.4,0.0,0.0,105.0,0.0,0.0,,220.0,0.0,,,69.0,0.0,0.0,0.0,69.0635,0.0,0.0,367.376,0.0
10,2017-12-30,8.733333333333333,92.952385,,,,,,,,,,,,,,,,,,,,,,,,,
11,2017-12-31,9.766666666666667,89.778534,,,,,,,,,162.0,141.54398999999995,2.5696523,252.793,199.0,208.46,3.932,213.782,94.0,0.0,0.0,0.0,31.35295,542.4580000000002,786.556,385.162,4829.808
12,2018-01-01,9.15,87.10198178506376,,,,,,,,,0.0,0.0,1.5236253,,0.0,0.0,2.3055556,,0.0,0.0,0.0,0.0,19.52445,0.0,0.0,93.31,1542.569
13,2018-01-02,7.05,83.1602925,,,,,,,,,,,,,,,,,,,,,,,,,
14,2018-01-03,6.866666666666666,70.28693280254777,,,,,,,,,45.0,0.0,0.75479865,,179.0,0.0,1.8568523,,0.0,0.0,0.0,0.0,117.17391666666667,0.0,0.0,623.4789999999999,965.54
15,2018-01-04,7.133333333333334,92.056076,,,,,,58.333333333333336,0.0,0.0,,,,,,,,,,,,,,,,,
16,2018-01-05,8.783333333333333,93.75,,,,,,,,,126.0,0.0,0.0,,162.0,0.0,,,92.0,0.0,0.0,0.0,67.57176666666666,0.0,0.0,405.595,0.0
17,2018-01-06,9.633333333333333,92.21453,,,,,,60.666666666666664,0.0,0.0,0.0,0.0,0.7958112,,0.0,0.0,2.0833333,,0.0,0.0,0.0,0.0,42.075833333333335,0.0,0.0,283.07,2020.45
18,2018-01-07,6.866666666666667,91.106723,,,,,,98.66666666666667,0.0,0.0,123.0,0.0,0.0,,190.0,0.0,,,70.0,0.0,0.0,0.0,78.42396666666667,0.0,0.0,417.023,0.0
19,2018-01-08,9.183333333333334,91.66667,,,,,,,,,,,,,,,,,,,,,,,,,
20,2018-01-09,7.35,95.47511,50003.0,,,,,61.0,0.0,0.0,,,0.0,,,,,,,0.0,0.0,0.0,30.0,0.0,0.0,252.0,0.0
21,2018-01-10,7.0,93.34917,,,,,,100.25,0.0,0.0,43.666666666666664,0.0,0.0,,169.0,0.0,,,0.0,0.0,0.0,0.0,133.4326,0.0,0.0,824.768,0.0
22,2018-01-11,7.6,91.46608,,,,,,,,,,,,,,,,,,,,,,,,,
23,2018-01-12,6.333333333333333,91.33858,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,30.0,0.0,0.0,252.0,0.0
24,2018-01-13,8.816666666666666,95.84905,,,,,,54.0,0.0,0.0,133.0,0.0,0.0,,168.0,0.0,,,79.0,0.0,0.0,0.0,40.056016666666665,0.0,0.0,213.034,0.0
25,2018-01-14,8.416666666666666,87.56848108910891,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,40.0,0.0,0.0,336.0,0.0
26,2018-01-15,6.4,91.42857,,,,,,67.0,72.0,0.0,145.0,0.0,0.0,,220.0,0.0,,,97.0,0.0,0.0,0.0,44.62403333333334,0.0,0.0,237.31,0.0
27,2018-01-16,7.7,93.520515,,,,,,57.0,0.0,0.0,,,,,,,,,,,,,,,,,
28,2018-01-17,7.4,93.70786,,,,,,57.5,0.0,0.0,,,0.0,,,,,,,0.0,0.0,0.0,30.0,0.0,0.0,252.0,0.0
29,2018-01-18,6.883333333333334,95.89372,,,,,,,,,39.0,0.0,1.0440417,,163.0,0.0,2.25,,0.0,0.0,0.0,0.0,63.3862,0.0,0.0,322.637,2400.5699999999997
