,altitude_loss,max_altitude,count,altitude_gain,duration,deviceuuid,max_heart_rate,mean_heart_rate,max_cadence,time_offset,incline_distance,exercise_type,decline_distance,max_speed,calorie,mean_cadence,mean_speed,min_altitude,min_heart_rate,count_type,distance,local_start_time,local_end_time
1,,,0.0,,30.0,jQfnryI8/B,,,,UTC-0500,,swimming,,,252.0,,0.0,,,repetition,0.0,2018-01-27 09:38:00.000,2018-01-27 10:08:00.000
6,,,,,11.721466666666666,F/D7+hL5E5,0.0,0.0,0.0,UTC-0400,,custom,,,65.85,0.0,,,0.0,nan,,2018-08-08 17:10:50.944,2018-08-08 17:22:34.232
7,,,,,14.8281,F/D7+hL5E5,0.0,0.0,0.0,UTC-0500,,cycling,,,166.074,0.0,,,0.0,nan,,2018-02-24 13:35:13.243,2018-02-24 13:50:02.929
11,,,,,10.632983333333334,jQfnryI8/B,,,,UTC-0400,,walking,,3.5833333,66.03,,1.5214293,,,nan,970.64,2018-05-01 17:35:24.000,2018-05-01 17:46:01.000
17,,,,,68.92525,F/D7+hL5E5,220.0,140.0,0.0,UTC-0800,0.0,custom,0.0,,366.661,0.0,0.0,,79.0,nan,0.0,2017-12-29 12:32:24.297,2017-12-29 13:41:21.980
18,,69.291,,,29.746716666666668,F/D7+hL5E5,179.0,153.0,201.329,UTC-0400,297.308,running,301.618,4.4,338.6690000000001,135.27759,2.5847423,41.455,92.0,nan,4609.743,2018-05-17 07:09:41.010,2018-05-17 07:41:46.758
25,,,0.0,,45.0,jQfnryI8/B,,,,UTC-0500,,swimming,,,378.0,,0.0,,,repetition,0.0,2018-11-16 07:01:00.000,2018-11-16 07:46:00.000
31,,,,,12.637366666666667,F/D7+hL5E5,0.0,0.0,0.0,UTC-0400,,walking,,2.25,86.75,0.0,1.9594283,,0.0,nan,1401.35,2018-10-28 07:31:43.374,2018-10-28 07:44:21.616
34,,,0.0,,20.0,jQfnryI8/B,,,,UTC-0500,,swimming,,,168.0,,0.0,,,repetition,0.0,2018-01-06 16:10:00.000,2018-01-06 16:30:00.000
35,,,0.0,,30.0,jQfnryI8/B,,,,UTC-0400,,swimming,,,252.0,,0.0,,,repetition,0.0,2018-04-24 07:56:00.000,2018-04-24 08:26:00.000
36,,,,,22.075833333333332,F/D7+hL5E5,0.0,0.0,0.0,UTC-0500,,walking,,2.0833333,115.07,0.0,1.5916224,,0.0,nan,2020.45,2018-01-06 16:39:51.135,2018-01-06 17:01:55.685
44,,,,,15.606066666666667,F/D7+hL5E5,0.0,0.0,0.0,UTC-0500,,walking,,1.8611112,74.43,0.0,1.5708691,,0.0,nan,1038.682,2018-11-19 17:31:37.522,2018-11-19 17:47:13.886
