,time_offset,floor,deviceuuid,local_start_time,local_end_time
0,UTC-0400,8.0,F/D7+hL5E5,2018-08-10 17:30:01,2018-08-10 17:31:42
1,UTC-0500,1.0,F/D7+hL5E5,2018-11-06 17:32:54,2018-11-06 17:33:11
2,UTC-0400,1.0,F/D7+hL5E5,2018-07-03 07:50:11,2018-07-03 07:50:25
3,UTC-0500,2.0,F/D7+hL5E5,2018-01-24 21:29:51,2018-01-24 21:30:56
4,UTC-0400,1.0,F/D7+hL5E5,2018-07-03 08:41:54,2018-07-03 08:42:05
5,UTC-0500,1.0,F/D7+hL5E5,2018-12-21 20:58:37,2018-12-21 20:58:47
6,UTC-0400,2.0,F/D7+hL5E5,2018-10-09 08:31:15,2018-10-09 08:31:40
7,UTC-0400,1.0,F/D7+hL5E5,2018-03-27 21:04:01,2018-03-27 21:04:27
8,UTC-0500,2.0,F/D7+hL5E5,2018-02-12 07:38:21,2018-02-12 07:40:16
9,UTC+0200,3.0,F/D7+hL5E5,2018-08-26 16:22:39,2018-08-26 16:23:55
10,UTC-0500,1.0,F/D7+hL5E5,2018-12-14 09:12:52,2018-12-14 09:13:12
11,UTC-0400,1.0,F/D7+hL5E5,2018-03-16 17:17:05,2018-03-16 17:17:22
12,UTC-0400,1.0,F/D7+hL5E5,2018-07-27 18:34:00,2018-07-27 18:34:13
13,UTC-0500,1.0,F/D7+hL5E5,2018-01-22 15:50:22,2018-01-22 15:50:38
14,UTC-0400,1.0,F/D7+hL5E5,2018-04-04 20:54:32,2018-04-04 20:54:48
15,UTC-0400,2.0,F/D7+hL5E5,2018-07-09 19:34:12,2018-07-09 19:35:26
16,UTC-0400,1.0,F/D7+hL5E5,2018-05-07 21:09:16,2018-05-07 21:09:25
17,UTC-0400,1.0,F/D7+hL5E5,2018-10-12 18:23:43,2018-10-12 18:24:09
18,UTC-0400,1.0,F/D7+hL5E5,2018-06-25 07:40:23,2018-06-25 07:40:46
19,UTC-0400,2.0,F/D7+hL5E5,2018-09-03 19:02:35,2018-09-03 19:03:21
20,UTC-0800,2.0,F/D7+hL5E5,2017-12-31 10:25:15,2017-12-31 10:25:44
21,UTC-0400,3.0,F/D7+hL5E5,2018-05-23 07:45:59,2018-05-23 07:48:12
22,UTC-0400,1.0,F/D7+hL5E5,2018-10-12 09:10:03,2018-10-12 09:10:10
23,UTC-0400,1.0,F/D7+hL5E5,2018-04-19 18:33:56,2018-04-19 18:34:08
24,UTC-0400,1.0,F/D7+hL5E5,2018-05-04 20:56:12,2018-05-04 20:56:33
25,UTC-0800,2.0,F/D7+hL5E5,2017-12-24 08:44:06,2017-12-24 08:44:44
26,UTC-0400,1.0,F/D7+hL5E5,2018-05-17 16:42:13,2018-05-17 16:42:41
27,UTC-0400,1.0,F/D7+hL5E5,2018-05-23 08:40:03,2018-05-23 08:40:09
28,UTC-0500,2.0,F/D7+hL5E5,2018-02-16 08:23:13,2018-02-16 08:24:33
29,UTC+0200,1.0,F/D7+hL5E5,2018-08-28 07:51:12,2018-08-28 07:51:31
30,UTC-0400,2.0,F/D7+hL5E5,2018-05-10 15:55:58,2018-05-10 15:56:25
31,UTC-0400,1.0,F/D7+hL5E5,2018-03-21 07:56:23,2018-03-21 07:56:42
32,UTC-0500,3.0,F/D7+hL5E5,2018-02-16 17:15:53,2018-02-16 17:17:14
33,UTC-0800,2.0,F/D7+hL5E5,2017-12-23 09:28:59,2017-12-23 09:30:24
34,UTC-0400,1.0,F/D7+hL5E5,2018-06-07 19:10:42,2018-06-07 19:11:10
35,UTC-0500,2.0,F/D7+hL5E5,2018-01-19 16:38:17,2018-01-19 16:39:42
36,UTC-0500,1.0,F/D7+hL5E5,2018-11-21 20:05:00,2018-11-21 20:05:15
37,UTC-0400,1.0,F/D7+hL5E5,2018-09-10 08:53:01,2018-09-10 08:53:23
38,UTC-0500,1.0,F/D7+hL5E5,2018-01-16 09:41:24,2018-01-16 09:41:42
39,UTC-0500,2.0,F/D7+hL5E5,2018-01-18 17:32:04,2018-01-18 17:32:38
40,UTC-0500,1.0,F/D7+hL5E5,2018-01-09 18:10:29,2018-01-09 18:10:43
41,UTC-0500,1.0,F/D7+hL5E5,2018-01-19 08:08:33,2018-01-19 08:09:15
42,UTC-0400,2.0,F/D7+hL5E5,2018-09-27 19:39:56,2018-09-27 19:40:24
43,UTC-0500,8.0,F/D7+hL5E5,2018-01-19 18:44:27,2018-01-19 18:46:01
44,UTC-0500,3.0,F/D7+hL5E5,2018-01-29 18:27:38,2018-01-29 18:29:38
45,UTC-0400,1.0,F/D7+hL5E5,2018-10-10 08:15:27,2018-10-10 08:15:44
46,UTC-0500,9.0,F/D7+hL5E5,2018-12-21 21:04:54,2018-12-21 21:06:54
47,UTC-0500,9.0,F/D7+hL5E5,2018-11-27 18:48:51,2018-11-27 18:50:36
48,UTC-0500,1.0,F/D7+hL5E5,2018-01-16 17:50:23,2018-01-16 17:50:47
49,UTC-0500,3.0,F/D7+hL5E5,2018-03-02 18:38:05,2018-03-02 18:40:57
50,UTC-0500,2.0,F/D7+hL5E5,2018-01-04 09:07:24,2018-01-04 09:08:41
51,UTC-0500,1.0,F/D7+hL5E5,2018-01-04 09:11:57,2018-01-04 09:12:22
52,UTC-0500,1.0,F/D7+hL5E5,2018-12-26 16:16:44,2018-12-26 16:17:02
53,UTC-0500,4.0,F/D7+hL5E5,2018-01-13 08:20:36,2018-01-13 08:21:20
54,UTC-0500,9.0,F/D7+hL5E5,2018-12-18 18:46:29,2018-12-18 18:48:25
55,UTC-0400,1.0,F/D7+hL5E5,2018-06-27 08:02:56,2018-06-27 08:03:12
56,UTC-0500,1.0,F/D7+hL5E5,2018-01-22 16:39:31,2018-01-22 16:39:58
57,UTC-0400,1.0,F/D7+hL5E5,2018-03-19 08:42:01,2018-03-19 08:42:29
58,UTC-0400,1.0,F/D7+hL5E5,2018-05-08 15:48:56,2018-05-08 15:49:16
59,UTC-0500,1.0,F/D7+hL5E5,2018-03-07 08:44:26,2018-03-07 08:44:35
60,UTC-0400,1.0,F/D7+hL5E5,2018-07-25 07:57:10,2018-07-25 07:57:27
61,UTC-0500,2.0,F/D7+hL5E5,2018-12-20 08:54:05,2018-12-20 08:54:30
