,heart_rate,deviceuuid,max,min,time_offset,local_start_time,local_end_time
0,57.0,F/D7+hL5E5,0.0,0.0,UTC-0500,2018-12-12 04:30:29.257,2018-12-12 04:30:29.257
1,60.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-10-23 14:00:29.301,2018-10-23 14:00:29.301
2,66.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-07-22 02:10:29.318,2018-07-22 02:10:29.318
3,69.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-10-07 22:00:29.324,2018-10-07 22:00:29.324
4,58.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-08-29 02:30:29.290,2018-08-29 02:30:29.290
5,70.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-10-03 13:20:29.323,2018-10-03 13:20:29.323
6,50.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-08-04 06:30:29.257,2018-08-04 06:30:29.257
7,64.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-09-26 13:40:51.490,2018-09-26 13:40:51.490
8,59.0,F/D7+hL5E5,0.0,0.0,UTC-0500,2018-12-26 04:00:29.281,2018-12-26 04:00:29.281
9,57.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-08-18 06:20:58.453,2018-08-18 06:20:58.453
10,75.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-10-31 20:00:29.237,2018-10-31 20:00:29.237
11,61.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-10-18 00:10:29.326,2018-10-18 00:10:29.326
12,73.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-09-12 13:20:52.123,2018-09-12 13:20:52.123
13,54.0,F/D7+hL5E5,0.0,0.0,UTC-0500,2018-12-03 01:00:29.229,2018-12-03 01:00:29.229
14,62.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-07-15 21:40:29.239,2018-07-15 21:40:29.239
15,65.0,F/D7+hL5E5,0.0,0.0,UTC-0500,2018-11-30 21:10:29.243,2018-11-30 21:10:29.243
16,64.0,F/D7+hL5E5,0.0,0.0,UTC-0500,2018-11-04 19:41:04.955,2018-11-04 19:41:04.955
17,66.0,F/D7+hL5E5,0.0,0.0,UTC-0500,2018-12-05 21:00:44.534,2018-12-05 21:00:44.534
18,73.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-07-23 09:20:51.764,2018-07-23 09:20:51.764
19,60.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-08-08 00:20:59.540,2018-08-08 00:20:59.540
20,54.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-06-09 12:00:29.257,2018-06-09 12:00:29.257
21,57.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-07-28 04:20:29.269,2018-07-28 04:20:29.269
22,57.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-06-20 22:40:29.280,2018-06-20 22:40:29.280
23,66.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-08-04 05:50:29.296,2018-08-04 05:50:29.296
24,60.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-10-10 00:30:29.256,2018-10-10 00:30:29.256
25,57.0,F/D7+hL5E5,0.0,0.0,UTC+0200,2018-08-22 04:20:55.993,2018-08-22 04:20:55.993
26,79.0,F/D7+hL5E5,0.0,0.0,UTC-0500,2018-12-11 09:40:29.252,2018-12-11 09:40:29.252
27,55.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-06-14 23:50:29.281,2018-06-14 23:50:29.281
28,64.0,F/D7+hL5E5,0.0,0.0,UTC-0500,2018-12-15 00:10:29.297,2018-12-15 00:10:29.297
29,70.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-07-31 13:20:51.460,2018-07-31 13:20:51.460
30,63.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-10-31 14:40:59.471,2018-10-31 14:40:59.471
31,61.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-08-06 23:30:29.259,2018-08-06 23:30:29.259
32,52.0,F/D7+hL5E5,0.0,0.0,UTC-0500,2018-12-17 01:51:12.148,2018-12-17 01:51:12.148
33,54.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-06-26 02:40:29.247,2018-06-26 02:40:29.247
34,64.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-08-06 21:10:29.327,2018-08-06 21:10:29.327
35,86.0,F/D7+hL5E5,0.0,0.0,UTC-0500,2018-11-23 15:10:51.478,2018-11-23 15:10:51.478
36,60.0,F/D7+hL5E5,0.0,0.0,UTC-0500,2017-12-16 04:30:29.450,2017-12-16 04:30:29.450
37,62.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-08-08 22:50:29.274,2018-08-08 22:50:29.274
38,64.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-10-25 12:50:29.253,2018-10-25 12:50:29.253
39,55.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-07-08 19:10:51.464,2018-07-08 19:10:51.464
40,71.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-08-31 16:41:21.608,2018-08-31 16:41:21.608
41,58.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-06-16 05:40:51.490,2018-06-16 05:40:51.490
42,61.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-10-12 10:30:49.034,2018-10-12 10:30:49.034
43,66.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-09-02 22:30:29.286,2018-09-02 22:30:29.286
44,81.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-07-15 15:20:43.121,2018-07-15 15:20:43.121
45,60.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-06-16 14:20:29.285,2018-06-16 14:20:29.285
46,54.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-08-16 22:20:29.238,2018-08-16 22:20:29.238
47,54.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-07-04 02:20:29.236,2018-07-04 02:20:29.236
48,60.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-08-29 02:50:29.263,2018-08-29 02:50:29.263
49,56.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-07-12 05:20:29.312,2018-07-12 05:20:29.312
50,67.0,F/D7+hL5E5,0.0,0.0,UTC-0500,2018-11-16 12:50:29.269,2018-11-16 12:50:29.269
51,50.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-08-14 01:40:29.247,2018-08-14 01:40:29.247
52,66.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-07-04 15:10:59.496,2018-07-04 15:10:59.496
53,62.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-10-17 01:00:44.663,2018-10-17 01:00:44.663
54,72.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-08-17 17:21:17.430,2018-08-17 17:21:17.430
55,60.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-09-24 22:40:29.288,2018-09-24 22:40:29.288
56,55.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-09-23 07:20:29.264,2018-09-23 07:20:29.264
57,56.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-09-10 02:10:29.264,2018-09-10 02:10:29.264
58,64.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-09-01 01:30:28.806,2018-09-01 01:30:28.806
59,54.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-07-22 05:30:29.314,2018-07-22 05:30:29.314
60,59.0,F/D7+hL5E5,0.0,0.0,UTC-0500,2018-12-19 04:40:29.319,2018-12-19 04:40:29.319
