,efficiency,quality,time_offset,deviceuuid,local_start_time,local_end_time
1,90.76923,,UTC-0400,F/D7+hL5E5,2018-09-10 23:06:00,2018-09-11 06:40:00
2,97.391304,,UTC-0400,F/D7+hL5E5,2018-08-31 05:35:00,2018-08-31 07:29:00
3,92.55533,,UTC-0500,F/D7+hL5E5,2018-11-23 21:10:00,2018-11-24 05:26:00
4,92.66304,50003.0,UTC-0500,F/D7+hL5E5,2018-03-07 22:23:00,2018-03-08 04:30:00
5,87.78801999999997,,UTC-0500,F/D7+hL5E5,2018-02-25 01:15:00,2018-02-25 08:28:00
6,92.27166,,UTC-0500,F/D7+hL5E5,2018-11-28 22:43:00,2018-11-29 05:49:00
7,90.026955,,UTC-0400,F/D7+hL5E5,2018-06-01 23:37:00,2018-06-02 05:49:00
9,90.69768,,UTC-0400,F/D7+hL5E5,2018-10-06 23:18:00,2018-10-07 07:10:00
10,83.65925797604791,,UTC-0400,F/D7+hL5E5,2018-06-22 22:11:00,2018-06-23 06:32:00
11,93.75,,UTC-0500,F/D7+hL5E5,2018-01-04 23:54:00,2018-01-05 08:41:00
12,91.30435,,UTC-0500,F/D7+hL5E5,2018-11-24 22:24:00,2018-11-25 06:26:00
13,93.305435,,UTC-0400,F/D7+hL5E5,2018-05-11 22:20:00,2018-05-12 06:17:00
14,90.17094,,UTC-0500,F/D7+hL5E5,2018-11-06 22:41:00,2018-11-07 06:28:00
15,90.97065,,UTC-0400,F/D7+hL5E5,2018-06-06 23:02:00,2018-06-07 06:24:00
16,86.39421550983602,,UTC-0400,F/D7+hL5E5,2018-08-29 21:24:00,2018-08-30 06:43:00
17,87.10198178506376,,UTC-0800,F/D7+hL5E5,2017-12-31 22:20:00,2018-01-01 07:29:00
18,87.598946,50003.0,UTC-0500,F/D7+hL5E5,2018-02-08 22:00:00,2018-02-09 04:18:00
19,89.54128,,UTC-0500,F/D7+hL5E5,2018-12-15 21:41:00,2018-12-16 07:00:00
20,90.71619,,UTC+0200,F/D7+hL5E5,2018-08-23 23:40:00,2018-08-24 05:56:00
21,94.03803066985645,,UTC-0400,F/D7+hL5E5,2018-05-14 23:55:00,2018-05-15 06:53:00
22,89.51264555926544,,UTC-0400,F/D7+hL5E5,2018-09-28 21:42:00,2018-09-29 07:41:00
23,91.75258,,UTC-0400,F/D7+hL5E5,2018-06-15 20:19:00,2018-06-15 21:55:00
24,94.0919,,UTC-0400,F/D7+hL5E5,2018-06-11 23:17:00,2018-06-12 06:54:00
25,92.230576,,UTC-0400,F/D7+hL5E5,2018-10-18 23:00:00,2018-10-19 05:39:00
26,94.318184,,UTC-0400,F/D7+hL5E5,2018-05-13 00:10:00,2018-05-13 06:01:00
27,92.82609,,UTC-0400,F/D7+hL5E5,2018-07-26 22:30:00,2018-07-27 06:09:00
28,89.87654,,UTC-0500,F/D7+hL5E5,2018-12-18 00:11:00,2018-12-18 06:55:00
30,89.87340999999998,,UTC-0400,F/D7+hL5E5,2018-05-08 18:04:00,2018-05-08 19:24:00
31,91.89049425469729,,UTC-0400,F/D7+hL5E5,2018-03-16 23:56:00,2018-03-17 07:55:00
32,89.6861,,UTC-0400,F/D7+hL5E5,2018-06-27 23:36:00,2018-06-28 07:02:00
33,92.24806,,UTC-0400,F/D7+hL5E5,2018-10-04 23:30:00,2018-10-05 05:56:00
34,94.34889,,UTC-0400,F/D7+hL5E5,2018-03-29 23:19:00,2018-03-30 06:06:00
36,89.393936,,UTC-0500,F/D7+hL5E5,2018-11-27 21:12:00,2018-11-28 05:59:00
37,86.84863,,UTC-0400,F/D7+hL5E5,2018-07-30 00:07:00,2018-07-30 06:50:00
