,longest_idle_time,score,goal,calorie,run_time,deviceuuid,update_time,longest_active_time,day_time,walk_time,active_time,distance,others_time,step_count,create_time
0,15780000,0,-1,927.1578,76845,jQfnryI8/B,2018-01-15 12:48:58.842,2400000,1515888000000,8814507,11291352,9196.503,2400000,12889,2018-01-14 05:00:56.527
1,22140000,0,-1,971.604,43840,jQfnryI8/B,2018-01-04 11:41:12.193,5363575,1514937600000,5720581,11982148,6962.8965,6217727,13135,2018-01-03 05:03:32.135
2,24660000,76,60,207.74994,77742,jQfnryI8/B,2016-09-03 06:20:16.720,240000,1472774400000,2726451,2804193,3679.9102,0,4407,2016-09-02 07:00:51.323
3,36420000,83,60,240.44005,55497,jQfnryI8/B,2016-07-25 05:48:14.487,540000,1469318400000,3051950,3107447,4135.3003,0,5200,2016-07-24 07:03:17.688
4,30660000,0,-1,167.93997,6451,jQfnryI8/B,2017-10-23 01:35:00.001,600000,1508630400000,2480173,2486624,3124.7898,0,4015,2017-10-22 04:15:01.831
5,30120000,0,-1,58.249996,7600,jQfnryI8/B,2017-12-13 13:55:50.092,180000,1513036800000,621554,629154,685.08997,0,991,2017-12-12 05:00:07.074
6,19440000,0,-1,487.74283,44835,jQfnryI8/B,2018-07-29 14:12:10.287,666021,1532390400000,6853773,6898608,8613.815999999999,0,11209,2018-07-24 04:02:24.115
7,22980000,0,-1,692.5391,38335,jQfnryI8/B,2018-01-24 22:13:46.297,2846944,1516665600000,2768483,7453762,3216.2876,4646944,5107,2018-01-23 05:10:46.623
8,32640000,0,-1,46.65999,1593,jQfnryI8/B,2017-01-03 04:35:01.485,120000,1483315200000,696059,697652,794.39996,0,1048,2017-01-02 08:00:23.925
9,45240000,31,60,80.07,17200,jQfnryI8/B,2016-10-11 03:53:56.806,60000,1476057600000,1141844,1159044,1439.4999,0,1789,2016-10-10 07:00:22.789
10,37020000,0,-1,829.0869,179487,jQfnryI8/B,2016-09-25 06:41:41.492,1740000,1474675200000,9820411,10996574,12702.192,996676,18594,2016-09-24 07:00:36.520
11,80940000,0,-1,0.62000006,0,jQfnryI8/B,2017-06-21 02:35:01.241,10005,1497916800000,10005,10005,11.679999,0,15,2017-06-20 04:00:00.949
12,26760000,0,-1,686.3998,63201,jQfnryI8/B,2016-06-25 14:40:09.488,1800000,1465084800000,13085839,13149040,16104.63,0,22022,2016-06-25 14:40:09.488
13,28740000,0,-1,58.45999499999999,28800,jQfnryI8/B,2016-09-04 05:35:17.457,42420,1472860800000,742371,771171,1004.44995,0,1185,2016-09-03 07:00:39.303
14,14760000,90,60,253.01001,32536,jQfnryI8/B,2018-12-06 13:25:59.332,180000,1543968000000,3249366,3281902,3936.6401,0,5176,2018-12-05 05:00:01.246
15,22860000,0,-1,680.4611,9058,jQfnryI8/B,2018-07-29 14:12:13.172,5208143,1532649600000,3150508,8367709,3923.4978,5208143,9455,2018-07-27 04:00:00.460
16,10260000,0,-1,481.86008,32658,jQfnryI8/B,2018-04-30 11:44:26.394,1800000,1524873600000,3401549,5234207,4017.008,1800000,5330,2018-04-28 04:00:42.119
17,27000000,0,-1,127.57998,28175,jQfnryI8/B,2016-11-28 02:30:02.475,360000,1480204800000,1779259,1807434,2352.67,0,2954,2016-11-27 08:00:02.178
18,14820000,0,-1,854.3666400000002,89085,jQfnryI8/B,2018-01-07 14:34:08.600,1734242,1515196800000,8797151,10086236,10750.026000000002,1200000,15964,2018-01-06 05:00:01.668
19,27960000,0,-1,438.08997,92555,jQfnryI8/B,2017-01-15 07:19:53.264,960000,1484352000000,5663371,5755926,7630.147,0,9605,2017-01-14 08:00:27.017
20,25380000,311,60,1043.9468,28168,jQfnryI8/B,2018-12-19 18:35:15.593,3775414,1545091200000,5667293,11270875,7049.4263,5575414,11989,2018-12-18 05:00:02.675
21,30120000,0,-1,341.33,19681,jQfnryI8/B,2017-11-20 00:26:26.751,240000,1510963200000,4941788,4961469,6406.5415,0,7999,2017-11-18 05:00:31.105
22,16680000,0,-1,390.07898,8000,jQfnryI8/B,2018-05-15 22:50:21.244,1800000,1526256000000,2206436,4014436,2351.7463,1800000,3438,2018-05-14 04:00:01.004
23,27600000,0,-1,321.7000700000001,9200,jQfnryI8/B,2017-02-19 05:04:02.928,1680000,1487376000000,4804018,4813218,5951.05,0,7637,2017-02-18 08:00:01.842
24,26460000,70,60,173.69,4400,jQfnryI8/B,2018-12-20 14:39:21.529,120000,1545177600000,2547063,2551463,2877.9614,0,3892,2018-12-19 05:00:01.485
25,15180000,0,-1,567.3168,2400,jQfnryI8/B,2018-05-02 18:48:28.857,2400000,1525132800000,3434906,5837306,3886.3113,2400000,5427,2018-05-01 04:00:00.398
26,31800000,0,-1,122.16998,24800,jQfnryI8/B,2016-12-30 04:51:16.279,360000,1482969600000,1872666,1897466,2376.7397,0,2959,2016-12-29 08:06:00.723
27,29640000,0,-1,184.94998,23497,jQfnryI8/B,2016-12-09 04:13:41.273,360000,1481155200000,2473305,2496802,3229.35,0,4126,2016-12-08 08:00:01.514
28,15720000,36,60,87.84899,1155,jQfnryI8/B,2018-11-12 15:15:28.537,120000,1541894400000,1351564,1352719,1502.0868,0,2048,2018-11-11 06:16:37.583
29,23340000,0,-1,417.4899,54971,jQfnryI8/B,2017-04-13 01:32:19.496,360000,1491955200000,5787721,5842692,7520.23,0,9532,2017-04-12 04:00:01.687
30,33720000,0,-1,265.98993,27780,jQfnryI8/B,2016-08-25 03:12:43.373,420000,1471996800000,3507163,3534943,4516.76,0,5886,2016-08-24 07:00:06.325
31,22500000,0,-1,64.95,10000,jQfnryI8/B,2017-09-30 04:39:12.587,49358,1506643200000,955144,965144,1160.9202,0,1457,2017-09-29 04:00:00.847
32,6840000,0,-1,417.02713,21661,jQfnryI8/B,2018-05-09 17:43:41.727,1207353,1525737600000,6455294,6476955,7152.015,0,10039,2018-05-08 04:00:00.624
33,24180000,0,-1,214.49998,7600,jQfnryI8/B,2017-04-01 01:45:27.482,780000,1490918400000,3233016,3240616,4000.1501,0,5090,2017-03-31 04:00:31.751
34,27240000,0,-1,207.82996,29141,jQfnryI8/B,2017-09-29 03:05:35.538,180000,1506556800000,2903047,2932188,3718.34,0,4575,2017-09-28 04:03:00.282
35,21480000,0,-1,370.06,124564,jQfnryI8/B,2017-03-25 00:55:00.182,1140000,1490313600000,4775380,4899944,6407.5,0,8097,2017-03-24 04:00:01.632
36,29280000,0,-1,175.7,15600,jQfnryI8/B,2016-12-08 07:57:05.385,60000,1481068800000,2617128,2632728,3166.8206,0,4000,2016-12-07 08:00:01.950
37,35460000,0,-1,1520.68,927165,jQfnryI8/B,2016-07-24 05:49:41.413,1680000,1469232000000,15785069,16712234,21945.938,0,28763,2016-07-23 07:00:35.943
38,29580000,0,-1,110.59998,24000,jQfnryI8/B,2017-10-14 23:48:43.502,120000,1507939200000,1545199,1569199,1993.38,0,2462,2017-10-14 04:00:38.279
39,21360000,0,-1,209.82002000000003,27976,jQfnryI8/B,2017-08-11 00:38:27.080,480000,1502323200000,2965920,2993896,3975.8298,0,4865,2017-08-10 04:01:01.217
40,34500000,118,60,329.66998,60880,jQfnryI8/B,2016-10-14 05:55:01.253,360000,1476316800000,4223696,4284576,5613.07,0,7226,2016-10-13 07:00:01.463
41,42300000,0,-1,294.2700200000001,25685,jQfnryI8/B,2016-10-25 04:14:59.704,540000,1477267200000,4166299,4191984,5240.0117,0,6650,2016-10-24 07:00:01.762
42,32280000,0,-1,639.6251,1076397,jQfnryI8/B,2017-03-06 23:33:16.915,1140000,1488758400000,5889501,6965898,10527.457,0,12379,2017-03-06 05:00:46.717
43,25920000,0,-1,189.12997,33997,jQfnryI8/B,2017-07-30 01:25:06.417,240000,1501286400000,2647459,2681456,3509.7004,0,4270,2017-07-29 04:00:00.876
44,14700000,0,-1,329.9297,44563,jQfnryI8/B,2018-04-15 11:13:56.461,1810317,1523577600000,4664440,4709003,5204.7440000000015,0,7368,2018-04-13 04:01:01.507
45,26640000,0,-1,705.11993,145549,jQfnryI8/B,2017-08-07 00:40:28.813,660000,1501977600000,9583205,9728754,12621.9375,0,15680,2017-08-06 04:00:01.091
46,25680000,0,-1,342.04996,63546,jQfnryI8/B,2017-09-07 01:34:59.316,540000,1504656000000,4295087,4358633,5995.2607,0,7609,2017-09-06 04:00:11.100
47,15660000,241,60,667.7182,50258,jQfnryI8/B,2018-11-04 13:17:39.648,3150030,1540944000000,5556402,8756690,6736.893,3150030,9867,2018-10-31 04:00:00.851
48,26940000,0,-1,367.29996,67281,jQfnryI8/B,2017-02-08 05:10:04.847,540000,1486425600000,5031017,5098298,6568.929,0,8240,2017-02-07 08:00:01.688
49,27300000,0,-1,66.85999,24321,jQfnryI8/B,2018-07-29 14:12:15.429,60000,1532736000000,808700,833021,1085.32,0,1341,2018-07-28 04:04:16.337
50,29160000,0,-1,298.38,38788,jQfnryI8/B,2016-11-16 06:54:07.674,360000,1479168000000,4049613,4088401,5216.679,0,6709,2016-11-15 08:00:01.659
51,28320000,0,-1,81.799995,1600,jQfnryI8/B,2018-08-07 22:40:30.766,60000,1533513600000,1271939,1273539,1455.0499,0,1913,2018-08-06 04:00:31.640
52,31740000,105,60,330.6701,181787,jQfnryI8/B,2016-07-11 04:37:51.365,780000,1468108800000,3613177,3794964,5351.608,0,6475,2016-07-10 07:00:32.564
53,31080000,125,60,332.4699700000001,42637,jQfnryI8/B,2016-09-27 04:13:09.573,540000,1474848000000,4552407,4595044,5835.35,0,7543,2016-09-26 07:00:24.590
54,17700000,0,-1,157.29092,25200,jQfnryI8/B,2018-03-23 11:01:14.146,120000,1521676800000,2393803,2419003,2652.2832,0,3680,2018-03-22 04:00:00.941
55,36420000,0,-1,171.03,400,jQfnryI8/B,2017-10-17 22:55:00.721,1920000,1508198400000,2429648,2430048,3201.4404,0,4131,2017-10-17 04:14:59.376
56,21660000,90,60,221.99797,6800,jQfnryI8/B,2018-10-16 12:31:00.773,120000,1539475200000,3264148,3270948,3771.821,0,4971,2018-10-14 04:00:00.757
57,31620000,0,-1,258.82996,22604,jQfnryI8/B,2017-01-05 03:19:20.650,480000,1483488000000,3553504,3576108,4582.88,0,5979,2017-01-04 08:00:00.996
58,31980000,0,-1,345.32004,34144,jQfnryI8/B,2017-02-01 05:55:00.655,900000,1485820800000,4692842,4726986,6034.691999999999,0,7841,2017-01-31 08:00:01.725
59,22260000,103,60,387.18997,28559,jQfnryI8/B,2018-10-24 14:07:21.571,1800000,1540252800000,1923970,3752529,2322.6584,1800000,3100,2018-10-23 04:00:00.551
60,15240000,0,-1,616.3198,31312,jQfnryI8/B,2018-02-17 11:36:02.596,2472007,1518739200000,9097018,9128330,10216.179,0,14443,2018-02-16 06:38:08.959
61,32340000,0,-1,179.09999,61551,jQfnryI8/B,2017-06-18 00:21:32.000,240000,1497657600000,2373293,2434844,3249.8704,0,3934,2017-06-17 04:00:00.349
62,32520000,0,-1,226.98,30630,jQfnryI8/B,2017-11-20 00:00:37.808,420000,1511049600000,3177826,3208456,4162.301,0,5238,2017-11-19 05:00:33.863
63,34800000,0,-1,231.73003,4800,jQfnryI8/B,2017-01-08 06:02:39.034,1080000,1483747200000,3526683,3531483,4249.8809999999985,0,5560,2017-01-07 08:00:02.411
64,26820000,0,-1,329.4986,682654,jQfnryI8/B,2016-06-26 05:55:01.293,420000,1466812800000,2939133,3621787,5167.2383,0,6030,2016-06-25 14:40:08.440
65,23280000,0,-1,129.45,5585,jQfnryI8/B,2017-06-14 03:12:29.053,240000,1497312000000,1892231,1897816,2395.79,0,2998,2017-06-13 04:15:01.321
66,37620000,0,-1,266.01004,47643,jQfnryI8/B,2017-10-06 23:55:02.244,1260000,1507248000000,3694371,3742014,5011.27,0,6319,2017-10-06 04:11:55.973
67,22320000,0,-1,710.9183,76953,jQfnryI8/B,2018-08-25 22:31:21.334,1162414,1535068800000,8284451,9153853,9950.417,792449,13472,2018-08-23 22:00:30.665
68,28680000,55,60,138.65,20975,jQfnryI8/B,2018-10-14 17:26:36.882,60000,1539388800000,2004634,2025609,2385.9927,0,3085,2018-10-13 06:23:59.349
69,29400000,0,-1,634.68494,100922,jQfnryI8/B,2017-12-22 23:49:32.552,540000,1513814400000,8485794,8898728,10551.463,312012,14133,2017-12-21 08:05:48.996
70,30420000,118,60,375.16995,153974,jQfnryI8/B,2016-07-20 05:55:00.642,540000,1468886400000,4153959,4307933,5770.34,0,7340,2016-07-19 07:00:38.967
71,25380000,0,-1,543.259,68401,jQfnryI8/B,2018-04-05 11:18:38.494,1800000,1522713600000,4036317,5904718,4798.7803,1800000,6443,2018-04-03 04:00:00.609
72,23160000,0,-1,896.57794,58653,jQfnryI8/B,2018-06-24 14:09:13.149,3742364,1529625600000,7795249,11596266,9338.542,3742364,14138,2018-06-22 04:00:01.885
73,36660000,0,-1,318.19992,23525,jQfnryI8/B,2017-12-20 17:14:15.429,1816330,1513641600000,2338024,4177879,2673.9790000000007,1816330,4397,2017-12-19 05:53:59.636
74,23340000,0,-1,65.420006,24000,jQfnryI8/B,2016-06-25 14:40:08.941,60000,1464652800000,1153243,1177243,1373.6802,0,1789,2016-06-25 14:40:08.941
75,23520000,0,-1,512.6685,112420,jQfnryI8/B,2018-03-15 17:56:59.614,757681,1520985600000,6988321,7100741,8626.703000000001,0,11465,2018-03-14 04:00:00.831
